Song Name,Artist,City,Rank
Pressure,Ari Lennox,Philadelphia,17
Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,Philadelphia,18
Beautiful Lies,Yung Bleu & Kehlani,Philadelphia,19
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,Philadelphia,20
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Boston,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Boston,2
Super Gremlin,Kodak Black,Boston,3
Big Energy,Latto,Boston,4
One Right Now,Post Malone & The Weeknd,Boston,5
Shivers,Ed Sheeran,Boston,6
Pepas,Farruko,Boston,7
INDUSTRY BABY,Lil Nas X & Jack Harlow,Boston,8
Better Days,"NEIKED, Mae Muller & Polo G",Boston,9
Pope Is A Rockstar,SALES,Boston,10
Heat Waves,Glass Animals,Boston,11
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,Boston,12
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,Boston,13
Love Nwantiti (Ah Ah Ah),CKay,Boston,14
Hello It's Me,Todd Rundgren,Boston,15
Happier Than Ever,Billie Eilish,Boston,16
Beggin,Måneskin,Boston,17
Easy On Me,Adele,Boston,18
Need To Know,Doja Cat,Boston,19
Oh My God,Adele,Boston,20
Big Energy,Latto,Anaheim,1
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Anaheim,2
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Anaheim,3
Pepas,Farruko,Anaheim,4
Oh My God,Adele,Anaheim,5
Pope Is A Rockstar,SALES,Anaheim,6
Do It to It,Acraze Feat. Cherish,Anaheim,7
Happier Than Ever,Billie Eilish,Anaheim,8
Need To Know,Doja Cat,Anaheim,9
abcdefu,GAYLE,Anaheim,10
Heat Waves,Glass Animals,Anaheim,11
Better Days,"NEIKED, Mae Muller & Polo G",Anaheim,12
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",Anaheim,13
Have Mercy,Chlöe,Anaheim,14
Hello It's Me,Todd Rundgren,Anaheim,15
Hurricane,Kanye West,Anaheim,16
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Anaheim,17
Shivers,Ed Sheeran,Anaheim,18
One Right Now,Post Malone & The Weeknd,Anaheim,19
Poke It Out,Wale Feat. Cool & Dre & J. Cole,Anaheim,20
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Denver,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Denver,2
Pope Is A Rockstar,SALES,Denver,3
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",Denver,4
abcdefu,GAYLE,Denver,5
Big Energy,Latto,Denver,6
Shivers,Ed Sheeran,Denver,7
Super Gremlin,Kodak Black,Denver,8
Happier Than Ever,Billie Eilish,Denver,9
One Right Now,Post Malone & The Weeknd,Denver,10
Beggin,Måneskin,Denver,11
INDUSTRY BABY,Lil Nas X & Jack Harlow,Denver,12
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Denver,13
Better Days,"NEIKED, Mae Muller & Polo G",Denver,14
Heat Waves,Glass Animals,Denver,15
Oh My God,Adele,Denver,16
Stay,The Kid LAROI & Justin Bieber,Denver,17
Easy On Me,Adele,Denver,18
Need To Know,Doja Cat,Denver,19
Have Mercy,Chlöe,Denver,20
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Las Vegas,1
Big Energy,Latto,Las Vegas,2
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",Las Vegas,3
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Las Vegas,4
Shivers,Ed Sheeran,Las Vegas,5
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Las Vegas,6
Pepas,Farruko,Las Vegas,7
Pope Is A Rockstar,SALES,Las Vegas,8
One Right Now,Post Malone & The Weeknd,Las Vegas,9
Heat Waves,Glass Animals,Las Vegas,10
Beautiful Lies,Yung Bleu & Kehlani,Las Vegas,11
Better Days,"NEIKED, Mae Muller & Polo G",Las Vegas,12
For Tonight,GIVĒON,Las Vegas,13
Scorpio,Moneybagg Yo,Las Vegas,14
Have Mercy,Chlöe,Las Vegas,15
edamame,bbno$ Feat. Rich Brian,Las Vegas,16
Poke It Out,Wale Feat. Cool & Dre & J. Cole,Las Vegas,17
Oh My God,Adele,Las Vegas,18
Handstand,French Montana & Doja Cat Feat. Saweetie,Las Vegas,19
Wild Side,Normani Feat. Cardi B,Las Vegas,20
You Problem,MONSTA X,San Diego,1
The Cowboy In Me (Yellowstone Edition),Tim McGraw,San Diego,2
Big Energy,Latto,San Diego,3
Cold Heart (PNAU Remix),Elton John & Dua Lipa,San Diego,4
Pope Is A Rockstar,SALES,San Diego,5
Pepas,Farruko,San Diego,6
Hello It's Me,Todd Rundgren,San Diego,7
Happier Than Ever,Billie Eilish,San Diego,8
Oh My God,Adele,San Diego,9
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",San Diego,10
Better Days,"NEIKED, Mae Muller & Polo G",San Diego,11
Heat Waves,Glass Animals,San Diego,12
Do It to It,Acraze Feat. Cherish,San Diego,13
Need To Know,Doja Cat,San Diego,14
One Day,MONSTA X,San Diego,15
