OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
10888,3801 SACRAMENTO ST,UNKNOWN,SACRAMENTO,SIDEWALK,1,2,,2004,0,37.786824,-122.455435,POINT (-122.45542 37.78682),10,8,6,31,80,,,10
9795,315 Noe Street,Buena Vista Realty,NOE,SIDEWALK,1,2,,2017,1,37.763941,-122.432991,POINT (-122.432976 37.763935),38,3,5,5,88,,,38
11732,2341 Irving St,Mang Van Inc.,IRVING,SIDEWALK,1,2,,2017,7,37.763238,-122.482921,POINT (-122.48291 37.763233),39,10,7,35,62,,,39
9372,110 BARTLETT ST,CCSF Mission,22ND; BARTLETT,PARCEL,10,20,,2007,0,37.754842,-122.420291,POINT (-122.42028 37.754837),53,3,2,20,87,,,53
10926,124 02ND ST,Patelco Credit Union,02ND,SIDEWALK,2,4,,2013,1,37.787509,-122.399553,POINT (-122.399536 37.787502),32,1,10,8,25,4,,32
13493,1243 Geneva Avenue,Bitter Taste Sweet Health,Geneva Avenue,SIDEWALK,2,4,,2020,3,,,POINT (-122.43551 37.71385),58,9,1,7,154,,,58
9350,555 02ND ST,Nova Bar and Restaurant,02ND,SIDEWALK,1,2,,2006,0,37.782551,-122.392546,POINT (-122.39253 37.782547),31,1,10,8,25,,,31
8607,501 03rd St,Gallery 16,03rd Street,SIDEWALK,2,4,,2017,10,0,0,POINT (-122.39543 37.78131),31,1,10,8,25,,,31
12121,4301 03RD ST,College Track,03RD,SIDEWALK,1,2,,2015,6,37.738338,-122.389071,POINT (-122.38906 37.738335),86,2,9,1,26,,,86
12235,78 29TH ST,Cafe Seventy8,29TH,ROADWAY,6,12,,2011,12,37.744269,-122.421331,POINT (-122.42132 37.744263),83,9,2,2,188,,,83
12144,665 03RD ST,UNKNOWN,03RD,SIDEWALK,1,2,,2005,0,37.779556,-122.393027,POINT (-122.39301 37.779552),31,1,10,8,25,,,31
10906,2499 FOLSOM ST,Joe & Pat's Bakery & Coffee,FOLSOM,SIDEWALK,2,4,,2013,4,37.757446,-122.414232,POINT (-122.414215 37.757442),53,3,2,20,169,,,53
9721,3160 MISSION ST,Atlas Motors and El Rio,MISSION,SIDEWALK,2,4,,2003,0,37.746669,-122.419531,POINT (-122.41952 37.746666),83,9,2,2,188,,,83
11278,1108 MARKET ST,Renoir Hotel,MARKET,SIDEWALK,3,6,,2010,10,37.780896,-122.412457,POINT (-122.412445 37.78089),20,5,10,36,131,6,1,20
11906,515 BALBOA ST,SF Hardware,BALBOA,SIDEWALK,1,2,,2010,0,37.777072,-122.464271,POINT (-122.46426 37.77707),5,8,4,11,94,,,5
10298,214 Grant Avenue,,GRANT,SIDEWALK,2,4,,2016,12,37.788944,-122.40518,POINT (-122.40517 37.78894),19,6,3,8,43,5,,19
13520,5528 Mission Street,,Mission Street,SIDEWALK,2,4,,2020,3,,,POINT (-122.44514 37.712246),58,9,1,7,119,,,58
11135,1890 BRYANT ST,Coffee Bar,MARIPOSA,SIDEWALK,2,4,,2012,7,37.763102,-122.411021,POINT (-122.41101 37.763096),53,3,2,20,169,,,53
12729,510 Steiner Street,,Steiner Street,SIDEWALK,1,2,,2019,12,37.77392811,-122.43249104,POINT (-122.43248 37.773922),26,4,11,9,72,,,26
11648,739 LARKIN ST,UNKNOWN,LARKIN,SIDEWALK,1,2,,2003,0,37.784816,-122.418089,POINT (-122.418076 37.784813),20,5,10,36,101,6,1,20
10412,300 BARTLETT ST,Mission Library,BARTLETT,SIDEWALK,1,2,,2010,0,37.751967,-122.419828,POINT (-122.419815 37.75196),53,3,2,20,87,,,53
14404,493 Sanchez,Bright Star Pilates,Sanchez,SIDEWALK,2,4,,2021,12,,,POINT (-122.43058 37.761284),37,3,5,5,162,,,37
12001,937 HARRISON ST,Mochica Restaurant,HARRISON,SIDEWALK,1,2,,2013,1,37.778162,-122.402427,POINT (-122.40241 37.778156),32,1,10,34,179,,,32
10965,295 CHANNEL ST,parking lot,CHANNEL,SIDEWALK,2,2,,2002,0,37.774373,-122.391616,POINT (-122.3916 37.77437),34,1,10,4,68,,,34
10750,142 02ND ST,SF Soup Company,02ND,SIDEWALK,1,2,,2013,1,37.787292,-122.399354,POINT (-122.39934 37.78729),32,1,10,8,25,4,,32
8507,1545 Broadway,Azzolino Chiropractic Neurology,Broadway,SIDEWALK,1,2,,2019,2,0,0,POINT (-122.422356 37.795563),105,4,3,32,45,,,105
11727,1190 Folsom Street,Cat Club,FOLSOM,SIDEWALK,1,2,,2016,8,37.775211,-122.409908,POINT (-122.4099 37.775208),32,1,10,34,35,,,32
11510,1395 MENDELL ST,Joe Lee Rec Ctr,MENDELL,SIDEWALK,1,2,,2002,0,37.734379,-122.389114,POINT (-122.3891 37.734375),86,2,9,1,26,,,86
11251,1380 VALENCIA ST,Apartment,VALENCIA,SIDEWALK,1,2,,2000,0,37.750797,-122.420821,POINT (-122.42081 37.750793),53,3,5,20,176,,,53
10618,1751 FULTON ST,UNKNOWN,FULTON,SIDEWALK,1,2,,2003,0,37.775628,-122.445528,POINT (-122.44551 37.775623),24,7,11,18,71,,,24
11764,2975 WASHINGTON ST,Bloomers,WASHINGTON,SIDEWALK,1,2,,2005,0,37.790423,-122.44218,POINT (-122.44217 37.790417),102,8,6,30,7,,,102
9719,2399 Greenwich St,The Dailey Method,GREENWICH,SIDEWALK,1,2,,2016,11,37.798472,-122.439093,POINT (-122.43908 37.798466),14,4,6,13,82,,,14
12413,3585 20th Street,BodyRok,20TH,SIDEWALK,2,4,,2017,2,37.758452,-122.420907,POINT (-122.42089 37.758446),53,3,2,20,177,,,53
13810,1260 Mission Street,YIMBY Action,Mission Street,SIDEWALK,1,2,,2020,9,,,POINT (-122.413956 37.77682),32,1,10,34,181,7,1,32
8931,298 11th Street,SF Oasis,11th Street,SIDEWALK,2,4,,2018,1,0,0,POINT (-122.414375 37.77188),32,1,10,20,180,,,32
10425,985 VALENCIA ST,UNKNOWN,VALENCIA,SIDEWALK,1,2,,2003,0,37.757219,-122.420837,POINT (-122.42082 37.757214),53,3,2,20,177,,,53
12677,1970 Sutter St,,Sutter St,SIDEWALK,1,2,,2019,12,37.7861565,-122.43277773,POINT (-122.43276 37.78615),101,4,11,30,78,,,101
12176,1871 HAYES ST,UNKNOWN,HAYES,SIDEWALK,1,2,,2003,0,37.773639,-122.447361,POINT (-122.44735 37.773636),24,7,11,18,71,,,24
9508,3242 22ND ST,Escape from New York Pizza,22ND,SIDEWALK,2,4,,0,0,37.755522,-122.419539,POINT (-122.419525 37.755516),53,3,2,20,177,,,53
10513,304 VALENCIA ST,Glama Rama,VALENCIA,SIDEWALK,2,4,,2012,5,37.76785,-122.422471,POINT (-122.422455 37.767845),37,3,5,20,178,,,37
9270,500 Laguna Street,,LAGUNA,SIDEWALK,2,4,,2017,1,37.77555,-122.425988,POINT (-122.42597 37.775543),22,4,11,9,70,,,22
9485,571 GEARY ST,Public Barber,GEARY,SIDEWALK,1,2,,2015,1,37.786544,-122.412575,POINT (-122.41256 37.78654),20,5,10,36,19,,1,20
11146,41 LELAND AVE,Hansan Interior,LELAND,SIDEWALK,1,2,,2009,0,37.711324,-122.404659,POINT (-122.40465 37.71132),75,9,9,40,117,,,75
11754,3030 20TH ST,Southern Exposure,20TH,SIDEWALK,1,2,,0,0,37.75932,-122.411269,POINT (-122.411255 37.759315),53,3,2,20,169,,,53
12292,2141 POLK ST,Street Restaurant,POLK,SIDEWALK,1,2,,2002,0,37.796482,-122.42216,POINT (-122.42215 37.79648),105,4,3,32,15,,,105
10430,3422 MISSION ST,Thrillhouse Records,MISSION,SIDEWALK,2,4,,2015,1,37.741931,-122.422553,POINT (-122.42254 37.741924),83,9,2,2,188,,,83
9180,2555 IRVING ST,Nomad Cyclery,27TH,SIDEWALK,1,2,,2003,0,37.76294,-122.485491,POINT (-122.48548 37.762936),39,10,7,35,61,,,39
9672,519 LAGUNA ST,UNKNOWN,LAGUNA,SIDEWALK,1,2,,2004,0,37.776091,-122.426348,POINT (-122.42634 37.776085),22,4,11,9,72,,,22
12391,3927 JUDAH ST,Karen Luu Home Couture,JUDAH,SIDEWALK,1,2,,2014,9,37.760244,-122.50429,POINT (-122.50428 37.76024),39,10,7,35,147,,,39
13488,302 Capitol Avenue,Family Market,Capitol Avenue,SIDEWALK,2,4,,2020,3,,,POINT (-122.459 37.71327),81,10,1,24,99,,,81
11680,1326 09TH AVE,Social Kitchen & Brewery,09TH,SIDEWALK,1,2,,2005,0,37.763494,-122.465931,POINT (-122.46592 37.76349),109,10,11,14,151,,,109
11698,4620 CALIFORNIA ST,St James Episcopal Church,CALIFORNIA,SIDEWALK,1,2,,2003,0,37.784934,-122.467188,POINT (-122.46718 37.784927),5,8,4,11,97,,,5
11959,490 POST ST,Medical Dental building,POST,SIDEWALK,1,2,,2011,11,37.788402,-122.409744,POINT (-122.40973 37.7884),19,6,3,21,10,5,,19
12556,183 West Portal Avenue,Pilates Story,West Portal Avenue,SIDEWALK,1,2,,2019,12,37.73894384,-122.4678491,POINT (-122.467834 37.738937),46,10,8,41,149,,,46
8916,2001 37th Avenue,St Ignatius High School,37th Avenue,SIDEWALK,1,2,,2018,7,0,0,POINT (-122.495804 37.74886),39,10,7,35,144,,,39
9154,1449 MISSION ST,Henry Gertmenian Co.,MISSION,SIDEWALK,1,2,,0,0,37.774578,-122.416165,POINT (-122.41615 37.774574),32,1,10,34,181,7,1,32
11103,3316 24TH ST,Dance Mission Theatre,24TH,SIDEWALK,1,2,,2004,0,37.752394,-122.418791,POINT (-122.41878 37.752388),53,3,2,20,87,,,53
14102,1249 Rhode Island,,Rhode Island,SIDEWALK,1,2,,2021,1,,,POINT (-122.40153 37.753918),54,2,9,26,54,,,54
