geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.396771573 37.7954661149),37.79546611,-122.3967716,2013,"{""type"":""Point"",""coordinates"":[-122.396771573,37.7954661149]}",0,1,0,0,0,0,1,0,0,0,0,0,"['CLAY ST', 'DRUMM ST']",0,1,0,0,1,0
POINT(-122.396825267 37.7430209556),37.74302096,-122.3968253,2006,"{""type"":""Point"",""coordinates"":[-122.396825267,37.7430209556]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-280 N OFF RAMP', 'I-280 NORTHBOUND']",0,1,0,0,1,0
POINT(-122.396825267 37.7430209556),37.74302096,-122.3968253,2010,"{""type"":""Point"",""coordinates"":[-122.396825267,37.7430209556]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-280 N OFF RAMP', 'I-280 NORTHBOUND']",0,1,0,0,1,0
POINT(-122.396825267 37.7430209556),37.74302096,-122.3968253,2016,"{""type"":""Point"",""coordinates"":[-122.396825267,37.7430209556]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-280 N OFF RAMP', 'I-280 NORTHBOUND']",0,1,0,0,1,0
POINT(-122.396841427 37.7821191225),37.78211912,-122.3968414,2014,"{""type"":""Point"",""coordinates"":[-122.396841427,37.7821191225]}",0,1,0,1,0,0,1,0,0,0,1,0,"['03RD ST', 'PERRY ST']",0,0,0,0,0,0
POINT(-122.396845822 37.7805271611),37.78052716,-122.3968458,2017,"{""type"":""Point"",""coordinates"":[-122.396845822,37.7805271611]}",0,1,0,0,0,0,0,1,0,0,0,0,"['BRYANT ST', 'ZOE ST']",0,1,0,0,0,1
POINT(-122.396856729 37.7313135188),37.73131352,-122.3968567,2007,"{""type"":""Point"",""coordinates"":[-122.396856729,37.7313135188]}",0,1,0,0,0,0,0,1,0,0,0,0,"['NEPTUNE ST', 'THORNTON AVE']",0,1,0,0,0,1
POINT(-122.396897104 37.7664299686),37.76642997,-122.3968971,2016,"{""type"":""Point"",""coordinates"":[-122.396897104,37.7664299686]}",1,0,0,0,0,1,0,0,0,0,0,0,"['16TH ST', 'DAGGETT ST', 'MISSOURI ST']",1,0,0,1,0,0
POINT(-122.396954352 37.7194765789),37.71947658,-122.3969544,2017,"{""type"":""Point"",""coordinates"":[-122.396954352,37.7194765789]}",1,0,0,0,0,1,0,0,0,0,0,0,"['03RD ST', 'KEY AVE']",1,0,0,1,0,0
POINT(-122.396957839 37.7963468599),37.79634686,-122.3969578,2009,"{""type"":""Point"",""coordinates"":[-122.396957839,37.7963468599]}",0,1,0,0,0,0,1,0,0,0,0,0,"['DRUMM ST', 'WASHINGTON ST']",0,1,0,0,1,0
